gene,HL60,MCF7,K562,A2780,A549,SKOV3
STX1A,0.90608648,3.503791824,2.340535956,2.688732256,4.822836117,3.194088531
PRKACA,3.466664951,6.212097125,5.447199104,5.920411966,4.217093503,5.677882576
RALB,3.618765104,5.716261946,6.032812831,4.824761571,6.017833855,6.519687345
PARP1,6.27758178,5.859774885,6.711268165,7.589019367,6.086105349,7.012423871
KIF20A,1.723963125,4.990502268,4.409189706,5.263973145,4.974897889,6.124481618
CPSF4,4.902681844,5.11028164,5.773523738,5.434800466,3.963334872,3.599744602
NFATC4,0.180312325,0.946035612,2.209684316,5.776129486,0.139670397,0.295955608
TOPBP1,4.370251855,4.090521056,4.70931779,4.945422541,4.503582243,4.706269953
DAG1,1.43716345,5.11954529,3.288968894,6.263401066,5.55982381,5.849351688
SNX6,3.176788148,5.578906207,5.357115182,5.699570415,6.808962437,6.242032565
PTPN1,3.167358574,6.296660358,5.28783676,4.167535397,3.932790252,5.011313868
STX4,4.456760771,5.274257068,5.20835741,4.334995475,5.322320892,5.389329171
MMP1,0.140212484,0.187968946,0.222801657,1.770551421,-0.053994221,4.112971255
NOL3,0.426690476,5.368568793,5.144689842,3.99225811,3.929993246,4.887378201
NET1,2.911692983,6.076756936,6.915905688,4.078504794,5.315451601,5.53300855
CNDP2,6.219452632,5.874495346,6.147443582,6.417686153,6.115223945,7.269522114
COASY,5.708810834,5.074456819,6.110350728,4.658635189,6.008735403,6.38426851
PRKAG2,3.312764152,3.018656811,2.114696045,2.855789404,4.272202777,4.498062319
NPEPL1,2.546618218,6.339635981,1.238742465,0.742964638,3.404063053,4.084152594
RPA3,6.111145728,6.229540498,6.738170377,5.785435661,5.860924622,4.386182725
TCEA2,2.700916639,5.618358315,4.035414426,4.705792004,2.811960461,5.705877535
APP,6.490676815,7.330256768,0.516797102,8.026175179,7.699596355,9.170580492
KEAP1,4.508885508,5.414002723,5.038451798,6.070583449,5.203197566,6.049571717
FAS,2.183777726,1.898756085,0.791856188,2.762346772,4.196784794,2.70695648
NFATC3,3.063846902,2.965108028,4.422887049,3.896225334,3.03048222,3.845103214
NR1H2,4.152617581,4.774861934,4.812803597,4.335061179,4.552072372,5.220832684
LSM5,7.95921968,6.097238643,7.002117634,6.477690641,7.365528796,5.526194559
BAD,3.808783319,5.573191335,4.77541656,4.904388474,5.283927026,5.458816185
EXT1,0.277069074,3.182563914,1.50810042,3.710952402,4.357195408,6.476135331
NMT1,4.35733666,4.946969204,6.057046434,5.898284375,5.774121416,6.914306214
COG4,3.629342986,5.713052442,5.78580362,5.297715811,5.098376463,5.4949174
RPIA,4.897293161,4.155444736,4.492220735,5.413075266,4.239037162,4.615948553
TPD52L2,5.293814881,7.570110441,6.202850565,6.488555314,5.920593429,6.484972635
PIH1D1,6.744593228,6.247331381,6.957337896,7.001378925,5.551607363,6.074668536
LIPA,2.545711634,4.924920525,-0.076675011,7.407360968,5.990936834,4.02301541
FSD1,0.217674964,1.988947737,0.470265737,4.472952,2.428001546,4.002772379
SMC4,4.601514083,5.598920656,6.692446083,6.406478762,6.278017102,6.832068334
GPC1,0.408254705,4.026738284,0.768811556,4.56555693,5.268981908,6.140228111
CCNB2,5.196837145,5.406239875,6.511527209,6.296912534,6.662967918,6.438141299
SACM1L,4.35774063,3.555017614,5.29459784,5.047927918,4.244776928,4.048026203
KDELR2,4.91472377,6.925819776,6.835046571,6.426554,7.003679502,5.962011414
CTSD,7.654943347,10.70373601,6.412262633,5.459206061,6.643889606,9.678127082
CHEK2,5.127193626,4.633223592,5.054260844,5.536751423,3.624605456,3.670631301
RTN2,0.188826711,2.963821445,4.551193721,5.910472853,2.562068942,3.542519904
KIF14,1.95302214,2.816760611,4.072579521,4.159919518,3.896284062,3.09428807
MBNL1,5.400648086,4.641203086,6.08742828,4.144829059,5.620706929,5.2088858
CISD1,4.827725958,3.99012331,5.136095547,4.266325652,5.310275154,4.859047665
PSMG1,7.010286604,6.390424854,7.187859356,5.988124212,6.042675726,6.56820967
VAV3,2.053182561,3.967832778,0.004152535,2.693790433,2.535743495,4.528200729
MELK,2.484743533,4.092132233,5.028335499,5.413758219,5.895086923,6.920538559
IGF2BP2,0.41288673,0.219866229,4.994091507,5.869132867,2.569516373,5.331659312
MSRA,4.288894876,2.444765849,1.54814902,1.395247897,3.00699095,2.701549701
KAT6B,1.384693428,3.487565426,2.206029279,3.821843395,1.925299322,2.877799154
PACSIN3,0.385500795,4.52440656,3.023193588,4.72605266,4.11986999,5.316919052
RAB21,2.225757376,5.353206984,3.565872465,3.736781285,4.813703088,5.804569273
CHP1,4.655418911,5.187186613,6.12259842,5.489637643,6.177431816,5.660933225
GNAI1,0.293141429,1.312085433,0.373340518,1.955053878,4.738451542,4.505274896
STAT3,2.029879229,4.220441375,7.42850692,4.577537169,6.086959346,6.554844515
PCNA,7.933902603,7.253636816,7.377135378,8.052636476,8.598636756,7.816585998
PPIE,5.395979028,5.541865435,6.793448551,6.008485156,5.575268722,6.289747517
ATMIN,3.565119725,4.638266601,4.016235195,4.155687777,4.514156448,5.190719724
EGFR,0.050985938,0.087233705,-0.076930364,1.269305805,5.131391345,5.289225417
AMDHD2,3.178040498,4.647449371,4.351036216,4.2097319,1.832847717,3.785507275
CCDC85B,6.209604472,4.124630025,3.291614285,4.439332746,1.346731842,5.020083617
SCYL3,1.212147971,2.554704524,2.495340463,2.78591302,1.930780087,2.347204269
TIMELESS,4.254409832,5.380745626,5.293663241,5.55641523,5.409389152,5.849204552
PMM2,5.152818749,5.85197985,4.613646004,4.802053589,5.765971434,4.689026381
PHGDH,4.982467507,7.019369495,8.706838199,9.089734916,5.938625431,5.093435866
MCM3,6.420443314,6.084649649,7.119974427,7.243943429,5.867655839,6.680912907
B4GAT1,1.366886849,3.672330811,3.339525423,4.402635431,3.465769503,4.558336799
MYCBP,5.431580216,4.793376857,5.18707937,4.53856315,4.698281271,5.071227837
CD44,4.050394798,5.412767406,1.630529591,0.98040098,6.641506992,7.394186365
SPP1,0.975806009,0.090888279,0.125941009,1.873793884,8.093454744,9.570648433
GTF2E2,3.701448466,3.8881825,5.286872517,5.123659684,5.493696996,5.689251377
RNPS1,7.139483715,6.924761993,6.82388819,7.944992108,7.045788341,7.270817505
IGFBP3,0.745799087,4.369271009,0.347488049,0.081628146,6.706267912,9.167729549
ERBB3,0.047480755,5.696948402,2.559644199,1.771136877,1.916149416,0.991586933
WFS1,0.106985475,4.539787193,0.385527123,3.348129907,2.759288419,4.067504113
NCAPD2,4.661278408,4.675431674,5.982877791,6.536772877,6.045953008,5.097937731
ZDHHC6,5.161728467,4.675303117,3.894069937,4.337374327,4.942830338,5.100320505
DYRK3,0.291005167,0.522274516,3.467750082,2.880027758,2.353727901,2.404925591
PSIP1,3.349683929,5.110511376,6.595357517,7.703588713,6.041104039,6.085875414
